player,trueskill_rating,mu,sigma,games,wins,losses,draws,score_rate
2193,30.822,37.757,2.312,23,20,3,0,0.87
2264,29.179,34.177,1.666,46,41,3,2,0.913
1914,28.486,33.354,1.623,32,24,6,2,0.781
2194,28.315,37.64,3.108,12,11,1,0,0.917
2152,28.251,37.6,3.116,9,8,1,0,0.889
2105,28.081,35.242,2.387,19,16,3,0,0.842
1855,27.964,33.117,1.718,29,24,5,0,0.828
1951,27.903,32.858,1.652,36,30,6,0,0.833
2098,27.835,39.104,3.756,8,8,0,0,1.0
2207,27.668,33.803,2.045,19,16,2,1,0.868
2270,27.647,33.926,2.093,18,13,2,3,0.806
2210,27.538,34.447,2.303,19,17,2,0,0.895
2171,27.283,39.453,4.057,6,6,0,0,1.0
2215,27.193,36.973,3.26,14,13,1,0,0.929
2185,27.169,39.294,4.042,6,6,0,0,1.0
1993,26.982,33.508,2.175,19,15,3,1,0.816
2156,26.953,33.592,2.213,19,14,3,2,0.789
2203,26.857,33.383,2.175,18,15,3,0,0.833
2621,26.835,31.325,1.497,39,31,8,0,0.795
2124,26.796,39.101,4.102,6,6,0,0,1.0
